Tiempo[s] SeñalEMG_Filtrada
5.000000000000000104e-04 1.452752568001253099e-03
7.500000000000000156e-04 3.878937904030213372e-03
1.000000000000000021e-03 5.873522915511225802e-03
1.250000000000000026e-03 6.713306170788116770e-03
1.500000000000000031e-03 6.328426047286709114e-03
1.750000000000000036e-03 5.681902537348144239e-03
2.000000000000000042e-03 5.516108654403577803e-03
2.249999999999999830e-03 5.335590698064202227e-03
2.500000000000000052e-03 4.101605643833139934e-03
2.749999999999999840e-03 1.814570188419812897e-03
3.000000000000000062e-03 -4.662655875643624483e-05
3.249999999999999851e-03 -3.200366450994228786e-04
3.500000000000000073e-03 -1.748705957152901509e-06
3.749999999999999861e-03 -1.063890345234150573e-03
4.000000000000000083e-03 -3.839786418976315861e-03
4.250000000000000305e-03 -7.009936191122943458e-03
4.499999999999999660e-03 -9.715802706106174344e-03
4.749999999999999882e-03 -1.231084606976416522e-02
5.000000000000000104e-03 -1.524756161844601637e-02
5.250000000000000326e-03 -1.812956472353260268e-02
5.499999999999999681e-03 -1.999437178527552553e-02
5.749999999999999903e-03 -2.035818939392707375e-02
6.000000000000000125e-03 -1.973957155263208335e-02
6.250000000000000347e-03 -1.893336117133415097e-02
6.499999999999999702e-03 -1.813539332100575635e-02
6.749999999999999924e-03 -1.712791847762222541e-02
7.000000000000000146e-03 -1.590985776693211798e-02
7.250000000000000368e-03 -1.484165515711462907e-02
7.499999999999999722e-03 -1.440477540395893562e-02
7.749999999999999944e-03 -1.475735717898203105e-02
8.000000000000000167e-03 -1.529263302669930241e-02
8.250000000000000389e-03 -1.498824766808820944e-02
8.500000000000000611e-03 -1.350694769237116219e-02
8.750000000000000833e-03 -1.140970705353856057e-02
8.999999999999999320e-03 -8.976022822675479990e-03
9.249999999999999542e-03 -5.730815657138852229e-03
9.499999999999999764e-03 -1.660183376901401553e-03
9.749999999999999986e-03 2.173131519341371578e-03
1.000000000000000021e-02 4.935207953511305118e-03
1.025000000000000043e-02 7.053269919835340740e-03
1.050000000000000065e-02 9.359579324483479831e-03
1.074999999999999914e-02 1.200092459611183660e-02
1.099999999999999936e-02 1.477387638707329705e-02
1.124999999999999958e-02 1.788013295654187693e-02
1.149999999999999981e-02 2.167953530592046235e-02
1.175000000000000003e-02 2.613434429756220090e-02
